First hand speed;Second hand speed
66.40518;7.802508
67.5777;5.710803
65.21695;8.328995
65.21695;8.328995
65.36937;13.02587
65.36937;13.02587
87.42159;18.01873
87.42159;18.01873
97.58969;25.8036
97.58969;25.8036
82.18498;28.60786
82.18498;28.60786
72.54626;29.88649
72.54626;29.88649
48.27629;21.94382
48.27629;21.94382
48.27629;21.94382
50.80288;10.30363
50.80288;10.30363
35.1785;13.17506
35.1785;13.17506
25.46705;10.44488
25.46705;10.44488
25.46705;10.44488
20.88418;18.47432
20.88418;18.47432
13.97499;21.57897
13.97499;21.57897
13.97499;21.57897
13.95392;27.66953
13.95392;27.66953
11.98223;27.29888
11.98223;27.29888
11.98223;27.29888
16.85136;27.92597
17.91146;30.19811
17.91146;30.19811
17.91146;30.19811
17.91146;30.19811
18.42404;35.2847
16.41758;28.93549
22.07047;19.71332
22.07047;19.71332
29.34145;8.343982
29.34145;8.343982
21.37304;6.633768
14.21085;8.026789
14.21085;8.026789
14.21085;8.026789
6.397377;11.79054
6.397377;11.79054
6.817346;10.12583
6.817346;10.12583
8.139258;15.69624
8.139258;15.69624
8.139258;15.69624
9.661998;20.19506
9.661998;20.19506
9.661998;20.19506
9.661998;20.19506
7.093399;26.41799
7.093399;26.41799
7.093399;26.41799
16.69324;27.31045
16.69324;27.31045
16.69324;27.31045
16.69324;27.31045
14.35823;25.8192
14.35823;25.8192
21.61691;15.31467
21.61691;15.31467
21.61691;15.31467
21.61691;15.31467
26.75475;4.97665
26.75475;4.97665
26.92367;0.5537855
26.92367;0.5537855
26.92367;0.5537855
26.92367;0.5537855
33.01078;4.552392
33.01078;4.552392
33.01078;4.552392
44.5304;7.532026
44.5304;7.532026
44.5304;7.532026
43.02905;7.266
43.02905;7.266
43.02905;7.266
40.68683;14.98853
40.68683;14.98853
40.68683;14.98853
42.31247;21.33539
42.31247;21.33539
42.31247;21.33539
48.41196;22.47477
48.41196;22.47477
48.41196;22.47477
40.66548;36.13873
40.66548;36.13873
40.66548;36.13873
45.26918;27.87602
45.26918;27.87602
45.26918;27.87602
31.26844;18.43177
31.26844;18.43177
31.26844;18.43177
40.13785;22.64565
40.13785;22.64565
40.13785;22.64565
31.65848;20.74934
31.65848;20.74934
31.65848;20.74934
41.85739;18.63438
41.85739;18.63438
42.55718;16.69753
42.55718;16.69753
42.55718;16.69753
45.74885;15.14824
45.74885;15.14824
41.38551;18.1833
41.38551;18.1833
41.38551;18.1833
40.17251;16.29238
40.17251;16.29238
40.17251;16.29238
41.77919;17.34871
41.77919;17.34871
41.77919;17.34871
55.52601;31.74772
55.52601;31.74772
42.90372;37.57228
42.90372;37.57228
42.90372;37.57228
42.90372;37.57228
31.0067;29.16649
31.0067;29.16649
25.23776;32.90567
25.23776;32.90567
25.23776;32.90567
19.4271;42.20569
19.4271;42.20569
19.4271;42.20569
14.12822;39.74868
14.12822;39.74868
14.12822;39.74868
17.88978;28.07852
17.88978;28.07852
17.88978;28.07852
24.92462;22.3457
24.92462;22.3457
29.54098;19.65362
29.54098;19.65362
29.54098;19.65362
